	time	[fba__A]	[C]	[fba__B1]	[fba__B2]	[model__D]	fba__R1	fba__R2	R3	update__R3	model__R4	vR3
177	17.7	10.0	8.31257348675	0.0	0.0	9.48742651325	0.0	0.0	0.0	1.0	0.831257348675	1.0
178	17.8	10.0	8.32935582846	0.0	0.0	9.57064417154	0.0	0.0	0.0	1.0	0.832935582846	1.0
179	17.9	10.0	8.34597126059	0.0	0.0	9.65402873941	0.0	0.0	0.0	1.0	0.834597126059	1.0
180	18.0	10.0	8.36242144316	0.0	0.0	9.73757855684	0.0	0.0	0.0	1.0	0.836242144316	1.0
181	18.1	10.0	8.37870801967	0.0	0.0	9.82129198033	0.0	0.0	0.0	1.0	0.837870801967	1.0
182	18.2	10.0	8.3948326173	0.0	0.0	9.9051673827	0.0	0.0	0.0	1.0	0.83948326173	1.0
183	18.3	10.0	8.41079684702	0.0	0.0	9.98920315298	0.0	0.0	0.0	1.0	0.841079684702	1.0
184	18.4	10.0	8.42660230379	0.0	0.0	10.0733976962	0.0	0.0	0.0	1.0	0.842660230379	1.0
185	18.5	10.0	8.44225056671	0.0	0.0	10.1577494333	0.0	0.0	0.0	1.0	0.844225056671	1.0
186	18.6	10.0	8.45774319917	0.0	0.0	10.2422568008	0.0	0.0	0.0	1.0	0.845774319917	1.0
187	18.7	10.0	8.473081749	0.0	0.0	10.326918251	0.0	0.0	0.0	1.0	0.8473081749	1.0
188	18.8	10.0	8.48826774865	0.0	0.0	10.4117322513	0.0	0.0	0.0	1.0	0.848826774865	1.0
189	18.9	10.0	8.50330271533	0.0	0.0	10.4966972847	0.0	0.0	0.0	1.0	0.850330271533	1.0
190	19.0	10.0	8.51818815114	0.0	0.0	10.5818118489	0.0	0.0	0.0	1.0	0.851818815114	1.0
191	19.1	10.0	8.53292554327	0.0	0.0	10.6670744567	0.0	0.0	0.0	1.0	0.853292554327	1.0
192	19.2	10.0	8.54751636409	0.0	0.0	10.7524836359	0.0	0.0	0.0	1.0	0.854751636409	1.0
193	19.3	10.0	8.56196207134	0.0	0.0	10.8380379287	0.0	0.0	0.0	1.0	0.856196207134	1.0
194	19.4	10.0	8.57626410826	0.0	0.0	10.9237358917	0.0	0.0	0.0	1.0	0.857626410826	1.0
195	19.5	10.0	8.59042390374	0.0	0.0	11.0095760963	0.0	0.0	0.0	1.0	0.859042390374	1.0
196	19.6	10.0	8.60444287246	0.0	0.0	11.0955571275	0.0	0.0	0.0	1.0	0.860444287246	1.0
197	19.7	10.0	8.61832241501	0.0	0.0	11.181677585	0.0	0.0	0.0	1.0	0.861832241501	1.0
198	19.8	10.0	8.63206391807	0.0	0.0	11.2679360819	0.0	0.0	0.0	1.0	0.863206391807	1.0
199	19.9	10.0	8.64566875452	0.0	0.0	11.3543312455	0.0	0.0	0.0	1.0	0.864566875452	1.0
200	20.0	10.0	8.6591382836	0.0	0.0	11.4408617164	0.0	0.0	0.0	1.0	0.86591382836	1.0
201	20.1	10.0	8.672473851	0.0	0.0	11.527526149	0.0	0.0	0.0	1.0	0.8672473851	1.0
202	20.2	10.0	8.68567678907	0.0	0.0	11.6143232109	0.0	0.0	0.0	1.0	0.868567678907	1.0
203	20.3	10.0	8.69874841686	0.0	0.0	11.7012515831	0.0	0.0	0.0	1.0	0.869874841686	1.0
204	20.4	10.0	8.71169004034	0.0	0.0	11.7883099597	0.0	0.0	0.0	1.0	0.871169004034	1.0
205	20.5	10.0	8.72450295246	0.0	0.0	11.8754970475	0.0	0.0	0.0	1.0	0.872450295246	1.0
206	20.6	10.0	8.73718843335	0.0	0.0	11.9628115666	0.0	0.0	0.0	1.0	0.873718843335	1.0
207	20.7	10.0	8.74974775038	0.0	0.0	12.0502522496	0.0	0.0	0.0	1.0	0.874974775038	1.0
208	20.8	10.0	8.76218215831	0.0	0.0	12.1378178417	0.0	0.0	0.0	1.0	0.876218215831	1.0
209	20.9	10.0	8.77449289943	0.0	0.0	12.2255071006	0.0	0.0	0.0	1.0	0.877449289943	1.0
210	21.0	10.0	8.78668120369	0.0	0.0	12.3133187963	0.0	0.0	0.0	1.0	0.878668120369	1.0
211	21.1	10.0	8.79874828878	0.0	0.0	12.4012517112	0.0	0.0	0.0	1.0	0.879874828878	1.0
212	21.2	10.0	8.8106953603	0.0	0.0	12.4893046397	0.0	0.0	0.0	1.0	0.88106953603	1.0
213	21.3	10.0	8.82252361185	0.0	0.0	12.5774763882	0.0	0.0	0.0	1.0	0.882252361185	1.0
214	21.4	10.0	8.83423422515	0.0	0.0	12.6657657748	0.0	0.0	0.0	1.0	0.883423422515	1.0
215	21.5	10.0	8.8458283702	0.0	0.0	12.7541716298	0.0	0.0	0.0	1.0	0.88458283702	1.0
216	21.6	10.0	8.85730720532	0.0	0.0	12.8426927947	0.0	0.0	0.0	1.0	0.885730720532	1.0
217	21.7	10.0	8.86867187733	0.0	0.0	12.9313281227	0.0	0.0	0.0	1.0	0.886867187733	1.0
218	21.8	10.0	8.87992352166	0.0	0.0	13.0200764783	0.0	0.0	0.0	1.0	0.887992352166	1.0
219	21.9	10.0	8.89106326243	0.0	0.0	13.1089367376	0.0	0.0	0.0	1.0	0.889106326243	1.0
220	22.0	10.0	8.90209221257	0.0	0.0	13.1979077874	0.0	0.0	0.0	1.0	0.890209221257	1.0
221	22.1	10.0	8.91301147396	0.0	0.0	13.286988526	0.0	0.0	0.0	1.0	0.891301147396	1.0
222	22.2	10.0	8.92382213752	0.0	0.0	13.3761778625	0.0	0.0	0.0	1.0	0.892382213752	1.0
223	22.3	10.0	8.93452528331	0.0	0.0	13.4654747167	0.0	0.0	0.0	1.0	0.893452528331	1.0
224	22.4	10.0	8.94512198065	0.0	0.0	13.5548780194	0.0	0.0	0.0	1.0	0.894512198065	1.0
225	22.5	10.0	8.95561328822	0.0	0.0	13.6443867118	0.0	0.0	0.0	1.0	0.895561328822	1.0
226	22.6	10.0	8.9660002542	0.0	0.0	13.7339997458	0.0	0.0	0.0	1.0	0.89660002542	1.0
227	22.7	10.0	8.97628391631	0.0	0.0	13.8237160837	0.0	0.0	0.0	1.0	0.897628391631	1.0
228	22.8	10.0	8.98646530196	0.0	0.0	13.913534698	0.0	0.0	0.0	1.0	0.898646530196	1.0
229	22.9	10.0	8.99654542835	0.0	0.0	14.0034545716	0.0	0.0	0.0	1.0	0.899654542835	1.0
230	23.0	10.0	9.00652530256	0.0	0.0	14.0934746974	0.0	0.0	0.0	1.0	0.900652530256	1.0
