Flux	Value
R_UshA_O4mdTMP	0
R_UshA_O6edGMP	0
R_UshA_O6mdGMP	0
R_UshA_oxo2dAMP	0
R_UshA_oxo8dAMP	0
R_UshA_oxo8dGMP	0
R_UshA_oxoethyl7dGMP	0
R_UshA_PSIURIMP	0
R_UshA_putdTMP	0
R_UshA_s2UMP	0
R_UshA_s4UMP	0
R_UshA_UmMP	0.0046267390703689
R_YbiV_MAN6P	0
R_YbiV_R5P	0
R_H2Oix	11.3313533969676
R_HemG	0
R_TX_H2O2	-15.5392032352172
R_TX_HDCA	0.0041076384559912
R_TX_HDCEA	0.00313665122168584
R_TX_hm3dC	0
R_TX_hm5dC	0
R_TX_hm5dU	0
R_TX_hm5hydantoin_dRibose	0
R_TX_ho5dC	0
R_TX_ho5dU	0
R_TX_ho5ho6dT	0
R_TX_ho5ho6dU	0
R_TX_ho5hydantoin_dRibose	0
R_Hpt1	0
R_TX_k2C	-0.00308449271358004
R_TX_LIPOATE	3.46297252114062E-05
R_TX_NormM_lomefloxacin	0
R_TX_m1dA	0
R_TX_m1dG	0
R_TX_m1G	-0.0231336953519065
R_TX_m2G	0
R_TX_m3dA	0
R_TX_m3dC	0
R_TX_m3dG	0
R_TX_m3dT	0
R_TX_m4dC	0
R_TX_m5C	0
R_TX_m5dC	0
R_TX_m62A	0
R_TX_m6A	0
R_TX_m6dA	0
R_TX_m7dA	0
R_TX_m7dG	0
R_TX_m7G	0
R_TX_m8dG	0
R_CpsG	0
R_TX_UHPT3	0
R_METix	0
R_MetF	9.50367425678145E-05
R_MOrx	0.000240952162393593
R_TX_n2dA	0
R_TX_NormM_norfloxacin	0
R_TX_NormM_novobiocin	0
R_TX_NormM_proflavine	0
R_TX_NormM_rhodamine6G	0
R_TX_NormM_tetraphenylphosphonium	0
R_TX_NAC	0.000982250584231491
R_TX_NH4	-0.00698415081771778
R_TX_O2	15.542000662
R_TX_O2edC	0
R_TX_O2edT	0
R_TX_O2mdC	0
R_TX_O2mdT	0
R_TX_O4edT	0
R_TX_O4mdT	0
R_TX_O6edG	0
R_TX_O6mdG	0
R_TX_OA	0
R_TX_OCDCA	0
